kod;rodzina;kodbarwy;ilosc;psu;ppsu;sterowanie;klasa;kolor;IP;IK;vin;hz;vs;zmienne;p;flux;wyd;pled;fluxled;wydled;cri;cct;barwa;masa;montaz;temperatury;dyfuzor;wymiary;dopisek;foto;rys;rozsyl;uwagi
xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;UHT_foto1;UHT_wym;UHT_roz_120st;
GL-UHT-100W-120-750;UHT;750;;Tak;Philips;Brak;;Czarny;IP65;IK07;220 - 240 VAC;50 / 60 Hz;;;100;16500;165;120;;;>70;5000 K;Zimna biała;7,89;zwieszany lub dostropowy;;Szkło hartowane;400,0 x 306,5;;UHT_foto1;UHT_wym;UHT_roz_120st;
GL-UHT-120W-120-750;UHT;750;;Tak;Philips;Brak;;Czarny;IP65;IK07;220 - 240 VAC;50 / 60 Hz;;;120;19800;165;120;;;>70;5000 K;Zimna biała;7,89;zwieszany lub dostropowy;;Szkło hartowane;400,0 x 306,5;;UHT_foto1;UHT_wym;UHT_roz_120st;
GL-UHT-150W-120-750;UHT;750;;Tak;Philips;Brak;;Czarny;IP65;IK07;220 - 240 VAC;50 / 60 Hz;;;150;24750;165;120;;;>70;5000 K;Zimna biała;7,89;zwieszany lub dostropowy;;Szkło hartowane;400,0 x 306,5;;UHT_foto1;UHT_wym;UHT_roz_120st;
GL-UHT-200W-120-750;UHT;750;;Tak;Philips;Brak;;Czarny;IP65;IK07;220 - 240 VAC;50 / 60 Hz;;;200;33000;165;120;;;>70;5000 K;Zimna biała;7,96;zwieszany lub dostropowy;;Szkło hartowane;400,0 x 306,5;;UHT_foto1;UHT_wym;UHT_roz_120st;
GL-UHT-100W-120-750-D;UHT;750;;Tak;Philips;DALI;;Czarny;IP65;IK07;220 - 240 VAC;50 / 60 Hz;;;100;16500;165;120;;;>70;5000 K;Zimna biała;7,89;zwieszany lub dostropowy;;Szkło hartowane;400,0 x 306,5;;UHT_foto1;UHT_wym;UHT_roz_120st;
GL-UHT-120W-120-750-D;UHT;750;;Tak;Philips;DALI;;Czarny;IP65;IK07;220 - 240 VAC;50 / 60 Hz;;;120;19800;165;120;;;>70;5000 K;Zimna biała;7,89;zwieszany lub dostropowy;;Szkło hartowane;400,0 x 306,5;;UHT_foto1;UHT_wym;UHT_roz_120st;
GL-UHT-150W-120-750-D;UHT;750;;Tak;Philips;DALI;;Czarny;IP65;IK07;220 - 240 VAC;50 / 60 Hz;;;150;24750;165;120;;;>70;5000 K;Zimna biała;7,89;zwieszany lub dostropowy;;Szkło hartowane;400,0 x 306,5;;UHT_foto1;UHT_wym;UHT_roz_120st;
GL-UHT-200W-120-750-D;UHT;750;;Tak;Philips;DALI;;Czarny;IP65;IK07;220 - 240 VAC;50 / 60 Hz;;;200;33000;165;120;;;>70;5000 K;Zimna biała;7,96;zwieszany lub dostropowy;;Szkło hartowane;400,0 x 306,5;;UHT_foto1;UHT_wym;UHT_roz_120st;
GL-UHT-100W-120-850;UHT;850;;Tak;Philips;Brak;;Czarny;IP65;IK07;220 - 240 VAC;50 / 60 Hz;;;100;15600;156;120;;;>80;5000 K;Zimna biała;7,89;zwieszany lub dostropowy;;Szkło hartowane;400,0 x 306,5;;UHT_foto1;UHT_wym;UHT_roz_120st;
GL-UHT-120W-120-850;UHT;850;;Tak;Philips;Brak;;Czarny;IP65;IK07;220 - 240 VAC;50 / 60 Hz;;;120;18720;156;120;;;>80;5000 K;Zimna biała;7,89;zwieszany lub dostropowy;;Szkło hartowane;400,0 x 306,5;;UHT_foto1;UHT_wym;UHT_roz_120st;
GL-UHT-150W-120-850;UHT;850;;Tak;Philips;Brak;;Czarny;IP65;IK07;220 - 240 VAC;50 / 60 Hz;;;150;23400;156;120;;;>80;5000 K;Zimna biała;7,89;zwieszany lub dostropowy;;Szkło hartowane;400,0 x 306,5;;UHT_foto1;UHT_wym;UHT_roz_120st;
GL-UHT-200W-120-850;UHT;850;;Tak;Philips;Brak;;Czarny;IP65;IK07;220 - 240 VAC;50 / 60 Hz;;;200;31200;156;120;;;>80;5000 K;Zimna biała;7,96;zwieszany lub dostropowy;;Szkło hartowane;400,0 x 306,5;;UHT_foto1;UHT_wym;UHT_roz_120st;
GL-UHT-100W-120-850-D;UHT;850;;Tak;Philips;DALI;;Czarny;IP65;IK07;220 - 240 VAC;50 / 60 Hz;;;100;15600;156;120;;;>80;5000 K;Zimna biała;7,89;zwieszany lub dostropowy;;Szkło hartowane;400,0 x 306,5;;UHT_foto1;UHT_wym;UHT_roz_120st;
GL-UHT-120W-120-850-D;UHT;850;;Tak;Philips;DALI;;Czarny;IP65;IK07;220 - 240 VAC;50 / 60 Hz;;;120;18720;156;120;;;>80;5000 K;Zimna biała;7,89;zwieszany lub dostropowy;;Szkło hartowane;400,0 x 306,5;;UHT_foto1;UHT_wym;UHT_roz_120st;
GL-UHT-150W-120-850-D;UHT;850;;Tak;Philips;DALI;;Czarny;IP65;IK07;220 - 240 VAC;50 / 60 Hz;;;150;23400;156;120;;;>80;5000 K;Zimna biała;7,89;zwieszany lub dostropowy;;Szkło hartowane;400,0 x 306,5;;UHT_foto1;UHT_wym;UHT_roz_120st;
GL-UHT-200W-120-850-D;UHT;850;;Tak;Philips;DALI;;Czarny;IP65;IK07;220 - 240 VAC;50 / 60 Hz;;;200;31200;156;120;;;>80;5000 K;Zimna biała;7,96;zwieszany lub dostropowy;;Szkło hartowane;400,0 x 306,5;;UHT_foto1;UHT_wym;UHT_roz_120st;
GL-UHT-100W-120-740;UHT;740;;Tak;Philips;Brak;;Czarny;IP65;IK07;220 - 240 VAC;50 / 60 Hz;;;100;16500;165;120;;;>70;4000 K;Neutralna biała;7,89;zwieszany lub dostropowy;;Szkło hartowane;400,0 x 306,5;;UHT_foto1;UHT_wym;UHT_roz_120st;
GL-UHT-120W-120-740;UHT;740;;Tak;Philips;Brak;;Czarny;IP65;IK07;220 - 240 VAC;50 / 60 Hz;;;120;19800;165;120;;;>70;4000 K;Neutralna biała;7,89;zwieszany lub dostropowy;;Szkło hartowane;400,0 x 306,5;;UHT_foto1;UHT_wym;UHT_roz_120st;
GL-UHT-150W-120-740;UHT;740;;Tak;Philips;Brak;;Czarny;IP65;IK07;220 - 240 VAC;50 / 60 Hz;;;150;24750;165;120;;;>70;4000 K;Neutralna biała;7,89;zwieszany lub dostropowy;;Szkło hartowane;400,0 x 306,5;;UHT_foto1;UHT_wym;UHT_roz_120st;
GL-UHT-200W-120-740;UHT;740;;Tak;Philips;Brak;;Czarny;IP65;IK07;220 - 240 VAC;50 / 60 Hz;;;200;33000;165;120;;;>70;4000 K;Neutralna biała;7,96;zwieszany lub dostropowy;;Szkło hartowane;400,0 x 306,5;;UHT_foto1;UHT_wym;UHT_roz_120st;
GL-UHT-100W-120-740-D;UHT;740;;Tak;Philips;DALI;;Czarny;IP65;IK07;220 - 240 VAC;50 / 60 Hz;;;100;16500;165;120;;;>70;4000 K;Neutralna biała;7,89;zwieszany lub dostropowy;;Szkło hartowane;400,0 x 306,5;;UHT_foto1;UHT_wym;UHT_roz_120st;
GL-UHT-120W-120-740-D;UHT;740;;Tak;Philips;DALI;;Czarny;IP65;IK07;220 - 240 VAC;50 / 60 Hz;;;120;19800;165;120;;;>70;4000 K;Neutralna biała;7,89;zwieszany lub dostropowy;;Szkło hartowane;400,0 x 306,5;;UHT_foto1;UHT_wym;UHT_roz_120st;
GL-UHT-150W-120-740-D;UHT;740;;Tak;Philips;DALI;;Czarny;IP65;IK07;220 - 240 VAC;50 / 60 Hz;;;150;24750;165;120;;;>70;4000 K;Neutralna biała;7,89;zwieszany lub dostropowy;;Szkło hartowane;400,0 x 306,5;;UHT_foto1;UHT_wym;UHT_roz_120st;
GL-UHT-200W-120-740-D;UHT;740;;Tak;Philips;DALI;;Czarny;IP65;IK07;220 - 240 VAC;50 / 60 Hz;;;200;33000;165;120;;;>70;4000 K;Neutralna biała;7,96;zwieszany lub dostropowy;;Szkło hartowane;400,0 x 306,5;;UHT_foto1;UHT_wym;UHT_roz_120st;
GL-UHT-100W-120-840;UHT;840;;Tak;Philips;Brak;;Czarny;IP65;IK07;220 - 240 VAC;50 / 60 Hz;;;100;15600;156;120;;;>80;4000 K;Neutralna biała;7,89;zwieszany lub dostropowy;;Szkło hartowane;400,0 x 306,5;;UHT_foto1;UHT_wym;UHT_roz_120st;
GL-UHT-120W-120-840;UHT;840;;Tak;Philips;Brak;;Czarny;IP65;IK07;220 - 240 VAC;50 / 60 Hz;;;120;18720;156;120;;;>80;4000 K;Neutralna biała;7,89;zwieszany lub dostropowy;;Szkło hartowane;400,0 x 306,5;;UHT_foto1;UHT_wym;UHT_roz_120st;
GL-UHT-150W-120-840;UHT;840;;Tak;Philips;Brak;;Czarny;IP65;IK07;220 - 240 VAC;50 / 60 Hz;;;150;23400;156;120;;;>80;4000 K;Neutralna biała;7,89;zwieszany lub dostropowy;;Szkło hartowane;400,0 x 306,5;;UHT_foto1;UHT_wym;UHT_roz_120st;
GL-UHT-200W-120-840;UHT;840;;Tak;Philips;Brak;;Czarny;IP65;IK07;220 - 240 VAC;50 / 60 Hz;;;200;31200;156;120;;;>80;4000 K;Neutralna biała;7,96;zwieszany lub dostropowy;;Szkło hartowane;400,0 x 306,5;;UHT_foto1;UHT_wym;UHT_roz_120st;
GL-UHT-100W-120-840-D;UHT;840;;Tak;Philips;DALI;;Czarny;IP65;IK07;220 - 240 VAC;50 / 60 Hz;;;100;15600;156;120;;;>80;4000 K;Neutralna biała;7,89;zwieszany lub dostropowy;;Szkło hartowane;400,0 x 306,5;;UHT_foto1;UHT_wym;UHT_roz_120st;
